SaleID,DCID,DateID,SKU_ID,DFOA Quantity,Non-DFOA Quantity,Unit of Measure
1,1,1,1,1000,0,GL
2,1,1,2,188,2204,GL
3,2,1,2,150,1709,GL
4,1,1,3,4,1,D55GL
5,2,1,4,3,0,D55GL
6,1,1,5,2,0,D55GL
7,1,1,6,0,0,GL
8,1,1,7,0,0,D209L
9,2,1,8,0,1,D55GL
10,2,1,9,0,4,K50KG
11,1,1,10,0,0,PL20L
12,2,1,11,0,1,D209L
13,1,1,12,0,0,D55GL
14,2,1,13,0,0,C6/1Q
15,2,1,14,0,0,C6/1Q
16,2,1,15,0,8,D55GL
17,2,1,16,0,0,PL5GL
18,2,1,17,0,0,PL5GL
19,2,1,18,0,0,C6/1Q
20,2,1,19,0,0,C6/1Q
21,2,1,20,0,1,D55GL
22,1,1,21,0,2,C3/1G
23,1,1,22,0,2,C6/1Q
24,1,1,23,0,1,C6/1Q
25,1,1,24,0,1,PL5GL
26,2,1,25,0,1,PL5GL
27,2,1,26,0,0,C6/1Q
28,1,1,27,0,0,D55GL
29,2,1,28,0,0,D55GL
