SKU_ID,Distributor SKU,Shell SKU Number,Distributor SKU Description
1,ABC123-GL,1,Product A Description
2,DEF456-GL,2,Product B Description
3,GHI789-D55GL,3,Product C Description
4,JKL012-D55GL,4,Product D Description
5,MNO345-D55GL,5,Product E Description
6,PQR678-GL,6,Product F Description
7,STU901-D209L,7,Product G Description
8,VWX234-D55GL,8,Product H Description
9,YZA567-K50KG,9,Product I Description
10,BCD890-PL20L,10,Product J Description
11,EFG123-D209L,11,Product K Description
12,HIJ456-D55GL,12,Product L Description
13,KLM789-C6/1Q,13,Product M Description
14,NOP012-C6/1Q,14,Product N Description
15,QRS345-D55GL,15,Product O Description
16,TUV678-PL5GL,16,Product P Description
17,WXY901-PL5GL,17,Product Q Description
18,ZAB234-C6/1Q,18,Product R Description
19,CDE567-C6/1Q,19,Product S Description
20,FGH890-D55GL,20,Product T Description
21,IJK012-D55GL,21,Product U Description
22,LMN345-D55GL,22,Product V Description
23,OPQ678-D55GL,23,Product W Description
24,RST901-D55GL,24,Product X Description
25,UVW234-D55GL,25,Product Y Description
26,XYZ567-D55GL,26,Product Z Description
27,ABC123-D55GL,27,Product AA Description
28,DEF456-D55GL,28,Product BB Description
