Distributor Name,DC Number,DC Name,Sales Month,Sales Day,Sales Year,Distributor SKU,Shell SKU Number,Distributor SKU Description,DFOA Quantity,Non-DFOA Quantity,Unit of Measure
X Petroleum,1001,Warehouse A,8,31,2024,ABC123-GL,1,Product A Description,1000,0,GL
X Petroleum,1001,Warehouse A,8,31,2024,DEF456-GL,2,Product B Description,188,2204,GL
X Petroleum,1002,Warehouse B,8,31,2024,DEF456-GL,2,Product B Description,150,1709,GL
X Petroleum,1001,Warehouse A,8,31,2024,GHI789-D55GL,3,Product C Description,4,1,D55GL
X Petroleum,1002,Warehouse B,8,31,2024,JKL012-D55GL,4,Product D Description,3,0,D55GL
X Petroleum,1001,Warehouse A,8,31,2024,MNO345-D55GL,5,Product E Description,2,0,D55GL
X Petroleum,1001,Warehouse A,8,31,2024,PQR678-GL,6,Product F Description,0,0,GL
X Petroleum,1001,Warehouse A,8,31,2024,STU901-D209L,7,Product G Description,0,0,D209L
X Petroleum,1002,Warehouse B,8,31,2024,VWX234-D55GL,8,Product H Description,0,1,D55GL
X Petroleum,1002,Warehouse B,8,31,2024,YZA567-K50KG,9,Product I Description,0,4,K50KG
X Petroleum,1001,Warehouse A,8,31,2024,BCD890-PL20L,10,Product J Description,0,0,PL20L
X Petroleum,1002,Warehouse B,8,31,2024,EFG123-D209L,11,Product K Description,0,1,D209L
X Petroleum,1001,Warehouse A,8,31,2024,HIJ456-D55GL,12,Product L Description,0,0,D55GL
X Petroleum,1002,Warehouse B,8,31,2024,KLM789-C6/1Q,13,Product M Description,0,0,C6/1Q
X Petroleum,1002,Warehouse B,8,31,2024,NOP012-C6/1Q,14,Product N Description,0,0,C6/1Q
X Petroleum,1002,Warehouse B,8,31,2024,QRS345-D55GL,15,Product O Description,0,8,D55GL
X Petroleum,1002,Warehouse B,8,31,2024,TUV678-PL5GL,16,Product P Description,0,0,12/.4
X Petroleum,1002,Warehouse B,8,31,2024,WXY901-PL5GL,17,Product Q Description,0,0,12/.4
X Petroleum,1002,Warehouse B,8,31,2024,ZAB234-C6/1Q,18,Product R Description,0,0,10/.4
X Petroleum,1002,Warehouse B,8,31,2024,CDE567-C6/1Q,19,Product S Description,0,0,PL5GL
X Petroleum,1002,Warehouse B,8,31,2024,FGH890-D55GL,20,Product T Description,0,1,PL5GL
X Petroleum,1001,Warehouse A,8,31,2024,IJK012-D55GL,21,Product U Description,0,2,C3/1G
X Petroleum,1001,Warehouse A,8,31,2024,LMN345-D55GL,22,Product V Description,0,2,C6/1Q
X Petroleum,1001,Warehouse A,8,31,2024,OPQ678-D55GL,23,Product W Description,0,1,C6/1Q
X Petroleum,1001,Warehouse A,8,31,2024,RST901-D55GL,24,Product X Description,0,1,PL5GL
X Petroleum,1002,Warehouse B,8,31,2024,UVW234-D55GL,25,Product Y Description,0,1,PL5GL
X Petroleum,1002,Warehouse B,8,31,2024,XYZ567-D55GL,26,Product Z Description,0,0,C6/1Q
X Petroleum,1001,Warehouse A,8,31,2024,ABC123-D55GL,27,Product AA Description,0,0,D55GL
X Petroleum,1002,Warehouse B,8,31,2024,DEF456-D55GL,28,Product BB Description,0,0,D55GL
X Petroleum,1001,Warehouse A,8,31,2024,ABC123-GL,1,Product A Description,1000,0,T975L
X Petroleum,1001,Warehouse A,8,31,2024,DEF456-GL,2,Product B Description,188,2204,C3/1G
X Petroleum,1002,Warehouse B,8,31,2024,DEF456-GL,2,Product B Description,150,1709,C6/1Q
X Petroleum,1001,Warehouse A,8,31,2024,GHI789-D55GL,3,Product C Description,4,1,D55GL
X Petroleum,1002,Warehouse B,8,31,2024,JKL012-D55GL,4,Product D Description,3,0,C6/1Q
X Petroleum,1001,Warehouse A,8,31,2024,MNO345-D55GL,5,Product E Description,2,0,PL5GL
X Petroleum,1001,Warehouse A,8,31,2024,PQR678-GL,6,Product F Description,0,0,PL5GL
X Petroleum,1001,Warehouse A,8,31,2024,STU901-D209L,7,Product G Description,0,0,GL
X Petroleum,1002,Warehouse B,8,31,2024,VWX234-D55GL,8,Product H Description,0,1,GL
X Petroleum,1002,Warehouse B,8,31,2024,YZA567-K50KG,9,Product I Description,0,4,C6/1G
X Petroleum,1001,Warehouse A,8,31,2024,BCD890-PL20L,10,Product J Description,0,0,C6/1G
X Petroleum,1002,Warehouse B,8,31,2024,EFG123-D209L,11,Product K Description,0,1,PL20L
X Petroleum,1001,Warehouse A,8,31,2024,HIJ456-D55GL,12,Product L Description,0,0,D55GL
X Petroleum,1002,Warehouse B,8,31,2024,KLM789-C6/1Q,13,Product M Description,0,0,D55GL
X Petroleum,1002,Warehouse B,8,31,2024,NOP012-C6/1Q,14,Product N Description,0,0,D55GL
X Petroleum,1002,Warehouse B,8,31,2024,QRS345-D55GL,15,Product O Description,0,8,D55GL
X Petroleum,1002,Warehouse B,8,31,2024,TUV678-PL5GL,16,Product P Description,0,0,D55GL
X Petroleum,1002,Warehouse B,8,31,2024,WXY901-PL5GL,17,Product Q Description,0,0,D55GL
X Petroleum,1002,Warehouse B,8,31,2024,ZAB234-C6/1Q,18,Product R Description,0,0,D209L
X Petroleum,1002,Warehouse B,8,31,2024,CDE567-C6/1Q,19,Product S Description,0,0,C6/1Q
X Petroleum,1002,Warehouse B,8,31,2024,FGH890-D55GL,20,Product T Description,0,1,C6/1Q
